2018-09-08 IP-2655371 19036,20326 1
2018-09-08 IP-1095280 19036,20326 1
2018-09-08 IP-0999872 19036,20326 3
2018-09-08 IP-0033874 19036,20326 1
2018-09-08 IP-2440999 19036,20326 1
2018-09-08 IP-2085304 19036,20326 1
2018-09-08 IP-0939202 19036,20326 4
2018-09-08 IP-1300129 19036,20326 3
2018-09-08 IP-1464997 19036,20326 1
2018-09-08 IP-1643824 19036,20326 1
2018-09-08 IP-0799269 19036,20326 1
2018-09-08 IP-1502655 19036,20326 1
2018-09-08 IP-1502656 19036,20326 1
2018-09-08 IP-2250605 19036,20326 3
2018-09-08 IP-1880672 19036,20326 1
2018-09-08 IP-2053441 19036,20326 2
2018-09-08 IP-1527360 19036,20326 1
2018-09-08 IP-2177148 19036,20326 2
2018-09-08 IP-0765426 19036,20326 4
2018-09-08 IP-0734800 19036,20326 3
2018-09-08 IP-1315397 19036,20326 1
2018-09-08 IP-2698888 19036,20326 1
2018-09-08 IP-2698889 19036,20326 1
2018-09-08 IP-2698890 19036,20326 1
2018-09-08 IP-2021359 19036,20326 1
2018-09-08 IP-1548399 19036,20326 1
2018-09-08 IP-1465002 19036,20326 2
2018-09-08 IP-2470670 19036,20326 1
2018-09-08 IP-2540912 19036,20326 1
2018-09-08 IP-1675631 19036,20326 1
2018-09-08 IP-2669950 19036,20326 1
2018-09-08 IP-2037263 19036,20326 1
2018-09-08 IP-1283780 19036,20326 1
2018-09-08 IP-1465008 19036,20326 1
2018-09-08 IP-0831681 19036,20326 1
2018-09-08 IP-0577087 19036,20326 1
2018-09-08 IP-2470674 19036,20326 1
2018-09-08 IP-1740665 19036,20326 5
2018-09-08 IP-2540916 19036,20326 3
2018-09-08 IP-2053454 19036,20326 1
2018-09-08 IP-2684622 19036,20326 15
2018-09-08 IP-2684623 19036,20326 2
2018-09-08 IP-2669953 19036,20326 41
2018-09-08 IP-2698891 19036,20326 2
2018-09-08 IP-2570266 19036,20326 1
2018-09-08 IP-2470680 19036,20326 15
2018-09-08 IP-2698892 19036,20326 1
2018-09-08 IP-2470681 19036,20326 40
2018-09-08 IP-2555632 19036,20326 2
2018-09-08 IP-2698893 19036,20326 1
2018-09-08 IP-2265964 19036,20326 47
2018-09-08 IP-2698894 19036,20326 1
2018-09-08 IP-2684626 19036,20326 8
2018-09-08 IP-2383906 19036,20326 1
2018-09-08 IP-2698895 19036,20326 2
2018-09-08 IP-0765438 19036,20326 48
2018-09-08 IP-2470689 19036,20326 2
2018-09-08 IP-1675642 19036,20326 1
2018-09-08 IP-2114483 19036,20326 1
2018-09-08 IP-0782100 19036,20326 1
2018-09-08 IP-1502676 19036,20326 1
2018-09-08 IP-1447277 19036,20326 1
2018-09-08 IP-1527380 19036,20326 1
2018-09-08 IP-2585168 19036,20326 1
2018-09-08 IP-1502677 19036,20326 3
2018-09-08 IP-0967955 19036,20326 1
2018-09-08 IP-1015399 19036,20326 1
2018-09-08 IP-1607928 19036,20326 1
2018-09-08 IP-1430598 19036,20326 1
2018-09-08 IP-1465033 19036,20326 1
2018-09-08 IP-0782101 19036,20326 1
2018-09-08 IP-1231982 19036,20326 1
2018-09-08 IP-1569378 19036,20326 1
2018-09-08 IP-1266131 19036,20326 1
2018-09-08 IP-2037269 19036,20326 1
2018-09-08 IP-1527382 19036,20326 1
2018-09-08 IP-2599713 19036,20326 1
2018-09-08 IP-1349347 19036,20326 1
2018-09-08 IP-0799282 19036,20326 1
2018-09-08 IP-1548420 19036,20326 1
2018-09-08 IP-1740675 19036,20326 1
2018-09-08 IP-2145829 19036,20326 1
2018-09-08 IP-2698896 19036,20326 1
2018-09-08 IP-2399069 19036,20326 1
2018-09-08 IP-2053463 19036,20326 2
2018-09-08 IP-1527386 19036,20326 1
2018-09-08 IP-2069528 19036,20326 1
2018-09-08 IP-0749437 19036,20326 5
2018-09-08 IP-0040600 19036,20326 2
2018-09-08 IP-0103297 19036,20326 1
2018-09-08 IP-1231983 19036,20326 6
2018-09-08 IP-1817442 19036,20326 4
2018-09-08 IP-0549602 19036 1
2018-09-08 IP-0549602 19036,20326 2
2018-09-08 IP-0702001 19036,20326 1
2018-09-08 IP-1465042 19036,20326 1
2018-09-08 IP-0718946 19036,20326 34
2018-09-08 IP-1527388 19036,20326 1
2018-09-08 IP-0765444 19036,20326 6
2018-09-08 IP-1691946 19036,20326 2
2018-09-08 IP-1569379 19036,20326 1
2018-09-08 IP-1527389 19036,20326 1
2018-09-08 IP-1015402 19036,20326 1
2018-09-08 IP-0765446 19036,20326 1
2018-09-08 IP-0734816 19036,20326 3
2018-09-08 IP-0702004 19036,20326 1
2018-09-08 IP-2698897 19036,20326 2
2018-09-08 IP-0999892 19036,20326 1
2018-09-08 IP-1465044 19036,20326 2
2018-09-08 IP-1850191 19036,20326 1
2018-09-08 IP-0685085 19036,20326 1
2018-09-08 IP-1332192 19036,20326 1
